time,left_motor_vel,right_motor_vel
0.0,0.0,0.0
0.0,3.958268404006958,-3.90999698638916
0.0,6.263892650604248,-6.214179039001465
0.0,6.58409309387207,-6.534588813781738
0.0,6.658641338348389,-6.608950138092041
0.0,6.612213134765625,-6.562497138977051
0.0,6.612213134765625,-6.562497138977051
0.0,6.661600112915039,-6.611886501312256
0.0,6.597509860992432,-6.597509860992432
0.0,6.655684947967529,-6.556346416473389
0.0,6.662586688995361,-6.612865924835205
0.0,6.6113972663879395,-6.561687469482422
0.0,6.6696672439575195,-6.570120334625244
0.0,6.599179744720459,-6.549561977386475
0.0,6.705685138702393,-6.60634183883667
0.0,6.709988117218018,-6.610580921173096
0.0,6.660284519195557,-6.610580921173096
0.0,-7.2573771476745605,6.4510016441345215
0.0,3.722717761993408,-3.722717761993408
0.0,6.260183334350586,-6.210499286651611
0.0,6.610580921173096,-6.511173725128174
0.0,6.663244724273682,-6.613519191741943
0.0,6.660613536834717,-6.610907554626465
0.0,2.2266058921813965,-2.0286853313446045
0.0,3.874969244003296,-3.8252902030944824
0.0,6.272891521453857,-6.272891521453857
0.0,6.609275817871094,-6.559582233428955
0.0,6.708001613616943,-6.60862398147583
0.0,6.685567378997803,-6.636044502258301
0.0,6.70485782623291,-6.6551923751831055
0.0,6.70816707611084,-6.6087870597839355
0.0,6.710153579711914,-6.660449028015137
0.0,6.762863636016846,-6.613682746887207
0.0,6.687540531158447,-6.588466167449951
0.0,6.686479091644287,-6.686479091644287
0.0,6.760693073272705,-6.611559867858887
0.0,6.710981845855713,-6.611559867858887
0.0,6.712472915649414,-6.6130290031433105
0.0,6.785447120666504,-6.6368608474731445
0.0,2.2328052520751953,-1.9847157001495361
0.0,3.974621534347534,-3.775890588760376
0.0,6.3647332191467285,-6.265284061431885
0.0,3.4171080589294434,-3.0288002490997314
0.0,3.9621100425720215,-3.8630571365356445
0.0,6.408444881439209,-6.259411334991455
0.0,6.662258148193359,-6.612539768218994
0.0,6.708828926086426,-6.609438896179199
0.0,6.764867782592773,-6.665384292602539
0.0,6.687047481536865,-6.637513637542725
0.0,6.705850601196289,-6.606504917144775
0.0,6.7615275382995605,-6.711810111999512
0.0,6.780121803283691,-6.634833335876465
0.0,6.75985860824585,-6.660449028015137
0.0,2.3264808654785156,-1.9799838066101074
0.0,3.824629783630371,-3.874300479888916
0.0,6.363947868347168,-6.314229488372803
0.0,6.713136672973633,-6.563955783843994
0.0,6.760359287261963,-6.611233711242676
0.0,6.790502548217773,-6.694183349609375
0.0,6.756189823150635,-6.656834125518799
0.0,6.758523941040039,-6.6591339111328125
0.0,6.808723449707031,-6.6596269607543945
0.0,6.810571670532227,-6.611722946166992
0.0,6.788118362426758,-6.6394734382629395
0.0,6.757356643676758,-6.608297348022461
0.0,6.760526180267334,-6.661106586456299
0.0,6.811076641082764,-6.612213134765625
0.0,4.94194221496582,-4.4047746658325195
0.0,3.8649580478668213,-3.914508819580078
0.0,1.9375324249267578,-1.7388111352920532
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
